molecule,ref_name,t_exp,est_Hvap,H_method,expt_Hvap,apd_Hvap,mapd_Hvap
EG,Stubbs et al.,500.0,823.7843864779306,estimated,845.255,2.5401344590767705,7.954193863196815
EG,Stubbs et al.,550.0,781.092905747214,estimated,781.37,0.03546261729859276,7.954193863196815
EG,Stubbs et al.,600.0,850.6826519787879,estimated,701.38,21.28698451321508,7.954193863196815
EG,Stubbs et al.,650.0,,skipped,588.55,,7.954193863196815
EG,Stubbs et al.,700.0,,skipped,376.95,,7.954193863196815
Glycerol,Caleman et al. (GAFF),298.15,,skipped,982.734,,
Glycerol,Caleman et al. (OPLS/AA),298.15,,skipped,982.734,,
Glycerol,Jahn et al.,298.15,,skipped,982.734,,
MeOH,Caleman et al. (CGenFF),200.0,,skipped,1289.99,,
MeOH,Caleman et al. (CGenFF),250.0,,skipped,1234.79,,
MeOH,Caleman et al. (CGenFF),300.0,,skipped,1166.17,,
MeOH,Caleman et al. (CGenFF),350.0,,skipped,1075.936,,
MeOH,Caleman et al. (CGenFF),400.0,,skipped,944.57,,
MeOH,Caleman et al. (CGenFF),450.0,,skipped,739.19,,
MeOH,Caleman et al. (CGenFF),500.0,,skipped,391.06,,
MeOH,Caleman et al. (GAFF),200.0,,skipped,1289.99,,
MeOH,Caleman et al. (GAFF),250.0,,skipped,1234.79,,
MeOH,Caleman et al. (GAFF),300.0,,skipped,1166.17,,
MeOH,Caleman et al. (GAFF),350.0,,skipped,1075.936,,
MeOH,Caleman et al. (GAFF),400.0,,skipped,944.57,,
MeOH,Caleman et al. (GAFF),450.0,,skipped,739.19,,
MeOH,Caleman et al. (GAFF),500.0,,skipped,391.06,,
MeOH,Caleman et al. (OPLS/AA),200.0,,skipped,1289.99,,
MeOH,Caleman et al. (OPLS/AA),250.0,,skipped,1234.79,,
MeOH,Caleman et al. (OPLS/AA),300.0,,skipped,1166.17,,
MeOH,Caleman et al. (OPLS/AA),350.0,,skipped,1075.936,,
MeOH,Caleman et al. (OPLS/AA),400.0,,skipped,944.57,,
MeOH,Caleman et al. (OPLS/AA),450.0,,skipped,739.19,,
MeOH,Caleman et al. (OPLS/AA),500.0,,skipped,391.06,,
MeOH,Chen et al.,200.0,,skipped,1289.99,,27.986108126711095
MeOH,Chen et al.,250.0,,skipped,1234.79,,27.986108126711095
MeOH,Chen et al.,300.0,1232.833958,direct,1166.17,5.716487133093791,27.986108126711095
MeOH,Chen et al.,350.0,1213.173135379253,estimated,1075.936,12.755139281449177,27.986108126711095
MeOH,Chen et al.,400.0,1232.0210346524466,estimated,944.57,30.431946245640507,27.986108126711095
MeOH,Chen et al.,450.0,1205.181731900533,estimated,739.19,63.040859846660915,27.986108126711095
MeOH,Chen et al.,500.0,,skipped,391.06,,27.986108126711095
MeOH,Gonzalez-Salgado & Vega,200.0,,skipped,1289.99,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,250.0,,skipped,1234.79,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,300.0,,skipped,1166.17,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,350.0,1221.57273905443,estimated,1075.936,13.535818027692178,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,400.0,1179.4730417185322,estimated,944.57,24.86878068523583,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,450.0,,skipped,739.19,,19.202299356464003
MeOH,Gonzalez-Salgado & Vega,500.0,,skipped,391.06,,19.202299356464003
MeOH,Jorgensen,200.0,,skipped,1289.99,,9.976697854427057
MeOH,Jorgensen,250.0,,skipped,1234.79,,9.976697854427057
MeOH,Jorgensen,300.0,1195.511822224548,estimated,1166.17,2.516084466634193,9.976697854427057
MeOH,Jorgensen,350.0,1167.0803007485729,estimated,1075.936,8.471163781913884,9.976697854427057
MeOH,Jorgensen,400.0,1123.4984339893745,estimated,944.57,18.942845314733095,9.976697854427057
MeOH,Jorgensen,450.0,,skipped,739.19,,9.976697854427057
MeOH,Jorgensen,500.0,,skipped,391.06,,9.976697854427057
MeOH,Martinez-Jimenez et al.,200.0,,skipped,1289.99,,30.597508070948155
MeOH,Martinez-Jimenez et al.,250.0,,skipped,1234.79,,30.597508070948155
MeOH,Martinez-Jimenez et al.,300.0,1225.3038451457815,estimated,1166.17,5.070773999140895,30.597508070948155
MeOH,Martinez-Jimenez et al.,350.0,1225.3038451457815,estimated,1075.936,13.882595725561886,30.597508070948155
MeOH,Martinez-Jimenez et al.,400.0,1236.4301609456963,estimated,944.57,30.898732856823347,30.597508070948155
MeOH,Martinez-Jimenez et al.,450.0,1275.3831225661838,estimated,739.19,72.5379297022665,30.597508070948155
MeOH,Martinez-Jimenez et al.,500.0,,skipped,391.06,,30.597508070948155
