old_path,new_path,citation,doi,is_SI
Stubbs-SI.pdf,stubbs_2004_jpcb_SI.pdf,"Stubbs, John M.; Potoff, Jeffrey J.; Siepmann, J. Ilja (2004). Transferable Potentials for Phase Equilibria. 6. United-Atom Description for Ethers, Glycols, Ketones, and Aldehydes (Supporting Information). J. Phys. Chem. B.",10.1021/jp049459w (parent article DOI; not printed on SI excerpt itself),Y
Vahid-Maginn-PCCP.pdf,vahid_2015_pccp.pdf,"Vahid, Amir; Maginn, Edward J. (2015). Monte Carlo simulation and SAFT modeling study of the solvation thermodynamics of dimethylformamide, dimethylsulfoxide, ethanol and 1-propanol in the ionic liquid trimethylbutylammonium bis(trifluoromethylsulfonyl)imide. Phys. Chem. Chem. Phys..",10.1039/c4cp05961a,N
a-four-site-molecular-model-for-simulations-of-liquid-methanol-and-water-methanol-mixtures-meoh-4p.pdf,martinezjimenez_2018_jctc.pdf,"Martinez-Jimenez, Manuel; Saint-Martin, Humberto (2018). A Four-Site Molecular Model for Simulations of Liquid Methanol and Water-Methanol Mixtures: MeOH-4P. J. Chem. Theory Comput..",10.1021/acs.jctc.7b01265,N
c4cp05961a1_suppl.pdf,vahid_2015_pccp_SI.pdf,"Vahid, Amir; Maginn, Edward J. (2015). Electronic Supplementary Information for: Monte Carlo Simulation and SAFT Modeling Study of the Solvation Thermodynamics of DMF, DMSO, Ethanol and 1-Propanol in the Ionic Liquid [N1114][Tf2N]. Phys. Chem. Chem. Phys..",NOT FOUND ON PDF (parent DOI 10.1039/c4cp05961a; no DOI printed on the ESI itself),Y
effects-of-temperature-on-the-properties-of-glycerol-a-computer-simulation-study-of-five-different-force-fields.pdf,jahn_2014_jpcb.pdf,"Jahn, David A.; Akinkunmi, Frederick O.; Giovambattista, Nicolas (2014). Effects of Temperature on the Properties of Glycerol: A Computer Simulation Study of Five Different Force Fields. J. Phys. Chem. B.",10.1021/jp5059098j,N
experimental-isobaric-vapor-liquid-equilibrium-for-binary-systems-of-ethyl-methyl-carbonate-methanol-ethanol-dimethyl.pdf,zhang_2010_jced.pdf,"Zhang, Xuemei; Zuo, Jian; Jian, Chungui (2010). Experimental Isobaric Vapor-Liquid Equilibrium for Binary Systems of Ethyl Methyl Carbonate + Methanol, + Ethanol, + Dimethyl Carbonate, or + Diethyl Carbonate at 101.3 kPa. J. Chem. Eng. Data.",10.1021/je100494z,N
experimental-vapor-pressure-data-and-a-vapor-pressure-equation-for-n-n-dimethylformamide.pdf,cui_2006_jced.pdf,"Cui, Xiaolong; Chen, Guangming; Han, Xiaohong (2006). Experimental Vapor Pressure Data and a Vapor Pressure Equation for N,N-Dimethylformamide. J. Chem. Eng. Data.",10.1021/je060224i,N
force-field-benchmark-of-organic-liquids-density-enthalpy-of-vaporization-heat-capacities-surface-tension-isothermal.pdf,caleman_2012_jctc.pdf,"Caleman, Carl; van Maaren, Paul J.; Hong, Minyan; Hub, Jochen S.; Costa, Luciano T.; van der Spoel, David (2012). Force Field Benchmark of Organic Liquids: Density, Enthalpy of Vaporization, Heat Capacities, Surface Tension, Isothermal Compressibility, Volumetric Expansion Coefficient, and Dielectric Constant. J. Chem. Theory Comput..",10.1021/ct200731v,N
jp5059098_si_001.pdf,jahn_2014_jpcb_SI.pdf,"Jahn, David A.; Akinkunmi, Frederick O.; Giovambattista, Nicolas (2014). Supplementary Information for: Effects of Temperature on the Properties of Glycerol: A Computer Simulation Study of Five Different Force Fields. J. Phys. Chem. B.",NOT FOUND ON PDF (parent DOI 10.1021/jp5059098j; not printed on SI itself),Y
molecular-modeling-and-simulation-of-vapor-liquid-equilibria-of-ethylene-oxide-ethylene-glycol-and-water-as-well-as.pdf,huang_2012_iecr.pdf,"Huang, Y.-L.; Merker, T.; Heilig, M.; Hasse, H.; Vrabec, J. (2012). Molecular Modeling and Simulation of Vapor-Liquid Equilibria of Ethylene Oxide, Ethylene Glycol, and Water as Well as Their Binary Mixtures. Ind. Eng. Chem. Res..",10.1021/ie300248z,N
molecules-29-01110.pdf,ruzicka_2024_molecules.pdf,"Ruzicka, Kvetoslav; Stejfa, Vojtech; Cervinka, Ctirad; Fulem, Michal; Sturala, Jiri (2024). Thermodynamic Study of N-Methylformamide and N,N-Dimethylformamide. Molecules.",10.3390/molecules29051110,N
monte-carlo-calculations-for-alcohols-and-their-mixtures-with-alkanes-transferable-potentials-for-phase-equilibria-5.pdf,chen_2001_jpcb.pdf,"Chen, Bin; Potoff, Jeffrey J.; Siepmann, J. Ilja (2001). Monte Carlo Calculations for Alcohols and Their Mixtures with Alkanes. Transferable Potentials for Phase Equilibria. 5. United-Atom Description of Primary, Secondary, and Tertiary Alcohols. J. Phys. Chem. B.",10.1021/jp003882x,N
parametrization-with-explicit-water-of-solvents-used-in-lithium-ion-batteries-cyclic-carbonates-and-linear-ethers.pdf,garciamelgarejo_2020_jpcb.pdf,"Garcia-Melgarejo, Valeria; Alejandre, Jose; Nunez-Rojas, Edgar (2020). Parametrization with Explicit Water of Solvents Used in Lithium-Ion Batteries: Cyclic Carbonates and Linear Ethers. J. Phys. Chem. B.",10.1021/acs.jpcb.0c01772,N
surface-tension-of-pure-liquids-and-binary-liquid-mixtures.pdf,kahl_2003_jced.pdf,"Kahl, Heike; Wadewitz, Tino; Winkelmann, Jochen (2003). Surface Tension of Pure Liquids and Binary Liquid Mixtures. J. Chem. Eng. Data.",10.1021/je0201323,N
transferable-potentials-for-phase-equilibria-6-united-atom-description-for-ethers-glycols-ketones-and-aldehydes.pdf,stubbs_2004_jpcb.pdf,"Stubbs, John M.; Potoff, Jeffrey J.; Siepmann, J. Ilja (2004). Transferable Potentials for Phase Equilibria. 6. United-Atom Description for Ethers, Glycols, Ketones, and Aldehydes. J. Phys. Chem. B.",10.1021/jp049459w,N
034508_1_supplements/suplementary_material.pdf,gonzalezsalgado_2016_jcp_SI.pdf,"Gonzalez-Salgado, D.; Vega, C. (inferred; not printed on file) (2016). Supporting Information for: A new intermolecular potential for simulations of methanol: The OPLS/2016 model. J. Chem. Phys..",10.1063/1.4958320 (inferred via cross-referencing; not printed on this SI file itself),Y
034508_1_supplements/submision_2003.xls,gonzalezsalgado_2016_jcp_SI.xls,"Vega, Carlos (file metadata author; inferred paper authors Gonzalez-Salgado & Vega, not printed in file) (2016 (last saved; file metadata: created 2011, last saved 2016-06-21)). Worksheet for calculating the scores of methanol models (raw scoring spreadsheet, companion to the OPLS/2016 SI above). J. Chem. Phys. (inferred).",NOT FOUND IN FILE (inferred same as suplementary_material.pdf: 10.1063/1.4958320),Y
1-s2.0-0009250989852650-main.pdf,tawfik_1989_ces.pdf,"Tawfik, Wahid Y.; Teja, Amyn S. (1989). The Densities of Polyethylene Glycols. Chem. Eng. Sci..",10.1016/0009-2509(89)85265-0 (derived from PII; not printed on scan),N
1-s2.0-0021961472900079-main.pdf,jakli_1972_jct.pdf,"Jakli, Gyorgy; Van Hook, W. Alexander (1972). The Vapor Pressures of Dimethyl Sulfoxide and Hexadeuterodimethyl Sulfoxide from about 313 to 453 K. J. Chem. Thermodyn..",NOT FOUND ON PDF (pre-DOI era; PII 0021-9614(72)90007-9),N
campbell-2011-the-density-and-vapour-pressure-of-dimethylsulfoxide-at-various-temperatures-and-the-%28hypothetical%29.pdf,campbell_1979_cjc.pdf,"Campbell, Alan N. (1979). The Density and Vapour Pressure of Dimethylsulfoxide at Various Temperatures and the (Hypothetical) Critical Density. Can. J. Chem..",NOT FOUND ON PDF (pre-DOI era; filename '2011' is a re-hosting artifact -- true year confirmed 1979),N
thermodynamics-of-liquid-surfaces-the-surface-tension-of-dimethyl-sulfoxide-and-some-dimethyl-sulfoxide-acetone-mixtures.pdf,clever_1963_jpc.pdf,"Lawrence Clever, H.; Snead, C. C. (1963). Thermodynamics of Liquid Surfaces: The Surface Tension of Dimethyl Sulfoxide and Some Dimethyl Sulfoxide-Acetone Mixtures. J. Phys. Chem..",NOT FOUND ON PDF (pre-DOI era),N
1-s2.0-S0021961483710840-main.pdf,nikitin_1993_jct.pdf,"Nikitin, E. D.; Pavlov, P. A.; Skripov, P. V. (1993). Measurement of the Critical Properties of Thermally Unstable Substances and Mixtures by the Pulse-Heating Method. J. Chem. Thermodyn..","NOT FOUND ON PDF (pre-DOI era; scanned image, no text layer -- identified via pdftoppm + visual OCR)",N
ct7b01265_si_001.pdf,martinezjimenez_2018_jctc_SI.pdf,"Martinez-Jimenez, Manuel; Saint-Martin, Humberto (inferred; not printed in this SI file) (2018). Supporting Information for: A Four-Site Molecular Model for Simulations of Liquid Methanol and Water-Methanol Mixtures: MeOH-4P. J. Chem. Theory Comput..",NOT FOUND ON PDF (no title/author/DOI text anywhere in the 26-page file; identity inferred from filename convention 'ct7b01265'=ACS JCTC DOI suffix + content match to the parent paper's model set),Y
isobaric-vapor-liquid-equilibria-of-diethyl-carbonate-with-four-alkanes-at-101-3-kpa.pdf,rodriguez_2002_jced.pdf,"Rodriguez, A.; Canosa, J.; Dominguez, A.; Tojo, J. (2002). Isobaric Vapor-Liquid Equilibria of Diethyl Carbonate with Four Alkanes at 101.3 kPa. J. Chem. Eng. Data.",10.1021/je010260b,N
1-s2.0-S002196141630074X-main.pdf,prieto_2016_jct.pdf,"Prieto, N.M.C.T.; Souza, T.A.; Egas, A.P.; Ferreira, A.G.M.; Lobo, L.Q.; Portugal, A.T.A. (2016). Liquid Glycerol: Experimental Densities at Pressures of Up to 25 MPa, and Some Derived Thermodynamic Properties. J. Chem. Thermodyn..",10.1016/j.jct.2016.05.006,N
1-s2.0-S0021961422002543-main.pdf,ahmadi_2023_jct.pdf,"Ahmadi, Pezhman; Chapoy, Antonin; Burgass, Rod (2023). An Investigation on the Thermophysical Properties of Glycerol. J. Chem. Thermodyn..",10.1016/j.jct.2022.106975,N
densities-and-apparent-molar-volumes-in-the-binary-system-dimethyl-sulfoxide-water-at-25-40-60-and-65-degree-c.pdf,pruett_1985_jced.pdf,"Pruett, D. J.; Felker, L. K. (1985). Densities and Apparent Molar Volumes in the Binary System Dimethyl Sulfoxide-Water at 25, 40, 60, and 65 Degree C. J. Chem. Eng. Data.",NOT FOUND ON PDF (pre-DOI era),N
jp0c01772_si_001.pdf,garciamelgarejo_2020_jpcb_SI.pdf,"Garcia-Melgarejo, Valeria; Alejandre, Jose; Nunez-Rojas, Edgar (2020). Supporting Information for: Parametrization with Explicit Water of Solvents Used in Lithium Ion Batteries: Cyclic Carbonates and Linear Ethers. J. Phys. Chem. B.","NOT FOUND ON PDF (SI cover page; matches parent DOI 10.1021/acs.jpcb.0c01772 by title/author/timestamp match, not a printed DOI)",Y
molecules-2891403-supplementary.pdf,ruzicka_2024_molecules_SI.pdf,"Ruzicka, Kvetoslav; Stejfa, Vojtech; Cervinka, Ctirad; Fulem, Michal; Sturala, Jiri (2024). Supplementary Materials for: Thermodynamic Study of N-Methylformamide and N,N-Dimethylformamide. Molecules.",10.3390/molecules29051110 (same as parent paper; SI carries no separate DOI),Y
s10765-008-0503-0.pdf,zheng_2008_ijt.pdf,"Zheng, P.; Meng, X.; Wu, J.; Liu, Z. (2008). Density and Viscosity Measurements of Dimethoxymethane and 1,2-Dimethoxyethane from 243 K to 373 K up to 20 MPa. Int. J. Thermophys..",10.1007/s10765-008-0503-0,N
5_223.pdf,nishimura_1972_jcej.pdf,"Nishimura, Michiko; Nakayama, Mutsuo; Yano, Takeo (1972). Vapor Pressure of Pure DMSO and Vapor-Liquid Equilibria in DMSO-H2O System Under Isobaric Conditions. J. Chem. Eng. Jpn..",NOT FOUND ON PDF (pre-DOI era),N
