paper,ff_model,molecule,property,temperature_K,value,unit,source_figure,method,qc_status
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,401.64384,675.86,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,411.50685,660.34,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,421.36986,648.28,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,431.23288,632.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,440,615.52,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,449.86301,600,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,459.72603,575.86,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_l,470.68493,553.45,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,471.78082,53.45,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,461.91781,43.1,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,452.05479,32.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,441.09589,24.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,432.32877,20.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,421.36986,15.52,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,410.41096,12.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,400.54795,10.34,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,390.68493,6.9,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,379.72603,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,369.86301,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,360,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,351.23288,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,341.36986,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,L2,MeOH,rho_v,280,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,280,781.03,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,289.86301,770.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,299.72603,762.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,310.68493,751.72,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,320.54795,741.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,330.41096,729.31,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,340.27397,718.97,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,350.13699,706.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,360,694.83,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,370.9589,682.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,380.82192,670.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,390.68493,655.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,400.54795,641.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,410.41096,625.86,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,420.27397,606.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,430.13699,589.66,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,440,570.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,450.9589,548.28,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_l,460.82192,518.97,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,460.82192,62.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,450.9589,46.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,441.09589,37.93,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,431.23288,29.31,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,421.36986,22.41,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,410.41096,17.24,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,400.54795,12.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,391.78082,8.62,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,381.91781,6.9,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,369.86301,6.9,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,361.09589,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,351.23288,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,340.27397,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,330.41096,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,320.54795,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,310.68493,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,299.72603,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,290.9589,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS,MeOH,rho_v,280,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,281.09589,805.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,290.9589,796.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,301.91781,784.48,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,310.68493,774.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,320.54795,763.79,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,330.41096,753.45,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,340.27397,743.1,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,350.13699,732.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,361.09589,720.69,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,369.86301,710.34,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,380.82192,698.28,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,390.68493,686.21,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,400.54795,674.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,410.41096,662.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,421.36986,646.55,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,430.13699,632.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,440,618.97,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,461.91781,582.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,449.86301,600,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,470.68493,562.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_l,480.54795,541.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,480.54795,55.17,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,470.68493,41.38,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,460.82192,32.76,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,450.9589,24.14,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,441.09589,18.97,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,431.23288,13.79,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,421.36986,12.07,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,411.50685,6.9,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,401.64384,10.34,kg/m3,Fig2,manual_digitization,OK
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,390.68493,5.17,kg/m3,Fig2,manual_digitization,APPROX
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,380.82192,5.17,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,369.86301,3.45,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,361.09589,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,351.23288,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
Gonzalez-Salgado & Vega 2016 J. Chem. Phys.,OPLS/2016,MeOH,rho_v,340.27397,1.72,kg/m3,Fig2,manual_digitization,UNRELIABLE
